negative,message
0,@teekstanley Still got nothing on mans sprint finish ;)
1,"@______NBA: Sprint can have this mf'n phone back, I'm going to T-Mobile I swear"
0,Their are 37 #WoOSTP Sprint Cars signed in so far.
0,LG Optimus G2 (Verizon Wireless): Shop cell phones and accessories at http://t.co/cUMJ0EX9uB. Youll find great ... http://t.co/O5ipjq7mIN
0,LG Optimus G2 (Verizon Wireless): Shop cell phones and accessories at http://t.co/1CgD0dod6F. Youll find great ... http://t.co/e5C43QBtfy
0,@regina_hall do you think Verizon has the best phones? #potentialofus
1,RT @KevinSycho: Sprint fucking sucks ass
1,fuck you apple fuck you verizon you cheap dumb motherfuckers #suckafatdick
1,FUCK YOU VERIZON WIRELESS
0,@pearlthatbitch_: Back to sprint take care of this one bro lol
0,@LGUShas finally followed me. So why does the @TMobilelg g flex have a locked bootloader? T-Mobile doesn't require it
0,"@RykerFrank sprint full force around the corner and head for the nearby park. Its not as if this chick knew, but Kai was ashamed of a part--"
0,LIMITED TIME OFFER  Get a free LG G2 when you bring your number to Sprint. via @UnlimitYourLG http://t.co/FeevhRB9K4
0,@sprintcare htc EVO 3g but got it fixed went to sprint store thanks
1,RT @KevinSycho: Sprint fucking sucks ass
0,LIMITED TIME OFFER  Get a free LG G2 when you bring your number to Sprint. via @UnlimitYourLG http://t.co/2MmsPrwKdg
0,RT @xxZELOaddictxx: i changed all the screen savers to Zelo on all the phones at the verizon store :3 http://t.co/OAQO56VmHs
0,RT @LiveWOOUpdates: Their are 37 #WoOSTP Sprint Cars signed in so far.
0,"Tagital 4"" Android 4.1 Smart Phone Dual SIM Unlocked AT&T T-Mobile PlayStore  http://t.co/ZnOY1KAIh5 #android"
0,"4"" Android 4.2 Unlocked Dual Core WIFI ATT TMobile Cellphone Smartphone F H10 WT http://t.co/TregtAvBxs #android"
1,SPRINT IS A PIECE OF FUCKING SHIT
0,"@TheJoyCs Only a sprint, we're training for long distance not speed - 750m swim 20km bike and 5km run good practice!"
0,NEW OTHER VERIZON 4G LTE MOTOROLA DROID RAZR HD XT926 WHITE NO CONTRACT PHONE http://t.co/8cUxqeSbGO #android
1,Why is verizon being booty right now
0,LG Extravert VN271 (Verizon) QWERTY Slider Touch Screen No Contract Cell Phone: $54.99 End Date: Monday... http://t.co/EFOL4n1Zy9
0,BlackBerry Storm 9530 - 1GB - Black (Verizon) Smartphone: $25.00 (0 Bids) End Date: Saturday Feb-15-2014 14:20:48... http://t.co/KZRKZMdCwq
1,been on hold with verizon for 45 minutes like is this a joke
0,@jennyhinebaugh I did not. Long story. Using a crappy burner until Friday. Then it's a nice no-contract #iPhone 5C with @TMobile! #overtime
0,Apple iPhone 5 - 16GB - White & Silver (Verizon) Smartphone EXCELLENT CONDITION!:  $410.00End Date: Tuesday Fe... http://t.co/MqwvR9DSjE
0,RT @UnlimitYourLG: Sprint is giving away FREE #LGG2's when you transfer your number. Check it out: http://t.co/dDLsNoKZ8x http://t.co/wjcFG
0,#geek #nerd #gamer: Nexus 7 LTE to finally and officially land on #Verizon Wireless this... http://t.co/zn7uuecPZ7 #verizonwireless
0,@JR88_Fan4Life I went to Pocono for a Sprint Cup race when I was a little kid. Back then it was the Winston Cup series though.
0,RT @Liamurhot: im at the verizon store and http://t.co/sXhvFmdxii
0,"Ionic ACTIVE Sport Armb& Case for Samsung Galaxy S4 S 4 SIV (AT&T, T-Mobile, Sprint, Verizon)(Black) http://t.co/AUq5i19fYJ"
0,@margy_york no t-mobile payed my cancelation fee for me! All I had to pay was 35 cents for a brand new phone lol
0,@Taf_N I don't know you know.. I've got a drive nowadays. Torn up that last sprint the past two days
1,"@Johnny_Blaz3 att service in ral is ass, same w/ sprint otherwise they'd been considered"
0,RT @_brittyy_: @pearlthatbitch_: Back to sprint take care of this one bro lol
1,fuck apple and fuck verizon I wasted 2 fucking hours for them to tell me 30 seconds worth of information that I didn't wanna hear
0,Sweet Thrills in World of Outlaws STP Sprint Car Opener http://t.co/EAJVuKmfXN
0,Sprint Sanyo Pro 700 Cell Phone Rugged: If you are looking for an easy way to research products before purchas... http://t.co/wfoqtZIcWc
0,That XC skiiing sprint was insane.
0,"@SaUcEySOARS Halo 2 default class armor lock, sprint & pulse granades"
0,Wish I could watch the ARCA race and the Sprint Unlimited tonight .
0,This fucker finally knowing what it's like to run free full sprint at the park. Looks like he enjoyed http://t.co/pVe79Kb2ps
0,"@sprint Your management @the North Michigan store in Indianapolis,IN HORRIBLE.  The managers name is Chad. He is prejudice /rude!!"
0,Samsung galaxy note 2 Verizon with square trade warranty. http://t.co/OjTxgrUYp0
0,@playstationliam verizon has a very nice lockscreen now
0,RT @Young_Guru: Down in the NOLA for #AllStarWeekend! Stop by my #PotentialOfUs @Verizon DJ set!!! RT!!
0,When I run from my problems I sprint and they just catch up to me when I get tired of sprinting
0,I entered for a chance to win a trip from M&M'S to 2015 Sprint Cup Kickoff. No Purch Nec. Ends Noon 2/18/14. Rules: http://t.co/RAL1GlNv91
0,Walking into a verizon store in valencia with a sf basketball sweater letting dem know wassup
1,My phone has been fucking up I need to call Verizon.
0,I entered for a chance to win a trip from M&M'S to 2015 Sprint Cup Kickoff. No Purch Nec. Ends Noon 2/18/14. Rules: http://t.co/s8vgZmSe3j
0,iPhone 4 Black 8GB *Cracked Screen Factory Unlocked AT&T T-Mobile Straight Talk http://t.co/kTdcW54iTo #unlockedsmartphone
1,@sprint you fucking suck..will be lucky if this tweet sends
0,3G being fully used today amid terrible weather by staff of EE (tmobile) to raise funds for tenovus cancer charity @MerthyrTownFC #future
0,Verizon iPhone 5s 16GB FactoryUnlocked Clean Esn http://t.co/WcHiilfKtX #unlockedsmartphone
0,@shotbyrose for tmobile then ill unlock it and idc the gigs lmao 16 or wutevz
0,RT @LRScents: The room is filling up at the #scentsy 2014 spring sprint in #hotsprings! http://t.co/IDQqRPvATM
0,Shoutout to Verizon for adding a free Gig to my plan. I accept!
0,"Verizon, AT&T, Sprint, and T-Mobile: are early upgrade plans a good deal? | The Verge http://t.co/CUhAei7rWH"
0,"Tagital 4"" Android 4.1 Smart Phone Dual SIM Unlocked AT&T T-Mobile PlayStore  http://t.co/ZXtm3nA4C1 #unlockedsmartphone"
0,"4"" Android 4.2 Unlocked Dual Core WIFI ATT TMobile Cellphone Smartphone F H10 WT http://t.co/y1UMHqfeEk #unlockedsmartphone"
0,iPhone 4s 16GB IOS6 White Factory Unlocked AT&T T-Mobile Straight Talk ATT IOS 6 http://t.co/NLYf0p4nKp #unlockedsmartphone
0,"Omg that Swedish girl's sprint in the final leg of the women's relay. That was so incredible, all for an Olympic gold medal. Amazing."
0,RT @Liamurhot: im at the verizon store and http://t.co/sXhvFmdxii
0,LG Optimus G2 - D803 Cover (For All Carriers except Verizon) - $7.99 vs $19.99 MSRP http://t.co/qbPODIrmt6
0,@kberkoxoxo I have a sprint 4
0,I entered for a chance to win a trip from M&M'S to 2015 Sprint Cup Kickoff. No Purch Nec. Ends Noon 2/18/14. Rules: http://t.co/zbrI8BxaWP
0,My Stomach Fucked Up ! Everytime I Try To Go Outside I Gotta Sprint Up Stairs To Go To The Bathroom
0,Why is andregotnoswag the best verizon sales rep around...when I grow up I want to be just like him http://t.co/hvC2SiJRtM
1,Why the fuck is so hard to get a TMobile iphone 5 like fuck
0,Looking forward to Sprint unlimited race tonight on FS1. Smoke will rise tonight. #SHR
0,Charlotte Kalla is a beast! Her sprint at the finish was unbelievable!
1,Sprint & this wack ass bullshit ass service!
0,"@TMobileHelp Appreciate the help guys,  went into a .@TMobile store, qualified for an #upgrade!"
0,@HeartlessInOhio I'll get up and sprint past you so fast the wind knocks you over.
1,@sprint Your company is ranked #3out of all cell phone companies and it's because you hire people who are ruining your reputation !!
0,RT @Liamurhot: im at the verizon store and http://t.co/sXhvFmdxii
0,@Camden_BTA: Why the fuck is so hard to get a TMobile iphone 5 like fuck it's not you just stupid
0,Anyone know someone selling a iPhone for tmobile ?
0,LIMITED TIME OFFER  Get a free LG G2 when you bring your number to Sprint. via @UnlimitYourLG http://t.co/OT3Vuhs5yO
0,@chasingsanityy fuckkkk I need a verizon :( thanks though!!!
0,What channel is the dunk contest on for Verizon
0,@_TheRealGandhi_ Sprint HTC one got it today
0,New on Ebay! New Iphone 5s Apple iPhone 5S (Latest Model)-16GB-Silver (Verizon) Factory ... http://t.co/uteL3VVRGI http://t.co/D7ODBdz0bj
0,New on Ebay! New Iphone 5s Apple iPhone 5S (Latest Model) - 16GB - Space Gray (Verizon) ... http://t.co/QZt5l1oQ18 http://t.co/dJP2vJZOjz
0,New on Ebay! New Iphone 5s Apple iPhone 5S (Latest Model) 16GB - Gold (Verizon)FACTORY U... http://t.co/g5YWRzGgHh http://t.co/c4XfzkigO6
0,I'm not gonna be able to sprint or jump during track season.. It's so frustrating
1,@NokiaCareUS Verizon announced last summer that it was coming but hasn't said anything since then.
1,RT @PMixedBeauty: Sprint sucks
0,"Fastest Fios Verizon sells, and Netflix can't serve me House of Cards in HD."
0,"Fuck, I either dropped my phone or was pick pocketed. Anybody got a Verizon iPhone they're willing to part with?"
1,Sprint Service Be Tripping
0,"T-Mobile will allow Jump users to upgrade anytime, but it may require opening your wallet http://t.co/nFTn5lk6MQ"
0,RT @LilisurZhuta: @keselowski @FOXSports1 r they going to do the same for the sprint unlimited tonight
0,RT @JordanCandler98: c'mon summer come a lil faster this is a sprint not a marathon
1,fuck sprint and them not having 4g
0,RT @KySpeedway: Retweet if you're ready for LIVE @Sprint Unlimited action at 8 p on @FOXSports1. Vote: http://t.co/Kj5GVNcUuR http://t.co/G
0,@byBosna Have you got a Verizon Business proxy?
0,I would like to see the @ARCA_Racing series bring a version of the current #NASCAR Sprint Cup car into the series for safety sakes.
0,"@joe012594 does an unlocked moto x count as ""purchasing a qualified phone"" even if I'm not buying it from tmobile?"
0,Can't get over how excited this commentator gets during the last sprint of the cross country races. #SillyUSCommentary
0,#Samsung Samsung Galaxy S 4  SPRINT:  $70.00 (0 Bids)End Date: Sunday Feb-16-2014 7:41:02 PSTBuy It Now for on... http://t.co/rV4Zcr8AZ2
0,LIMITED TIME OFFER  Get a free LG G2 when you bring your number to Sprint. via @UnlimitYourLG http://t.co/tcgXpCi0f6
0,RT @Liamurhot: im at the verizon store and http://t.co/sXhvFmdxii
1,RT @SullDe: I  hate  sprint
0,"Not including wrecks, both the Truck series and ARCA probably have better competition than Sprint or Nationwide. #NASCAR"
0,@_TheRealGandhi_ Sprint s4 got it 2 days ago.
0,@edrdgz18 When did it start? Is this at your home location? Do other people using T-Mobile see the same? What phone are you using? ^KM
0,RT @JaysonSwain: Get the eff back on D. Sprint back to lane and identify your man if u have to. Geesh. Giving up freebies
0,Motorola Droid Razr Maxx (Latest Model) - 16GB - Black (Verizon)  NO POWER UP http://t.co/0EpUOcZgKB
1,RT @amor_hermosa1: Sprint & this wack ass bullshit ass service!
0,@BRYond_Pretty: My Stomach Fucked Up ! Everytime I Try To Go Outside I Gotta Sprint Up Stairs To Go To The Bathroomewwww
0,@sprint I visited 4 Sprint stores today and got the best service from a 3rd party type store #LookingtomovetoVERIZON
0,@Elyse_D_Smith omg has next one I go to Verizon for a phone your coming haha
1,Yea our service is off until Monday or Tuesday because Verizon wireless are stingy motherfuckers.
1,F U sprint.
0,@FunnyDNA I don't have a sprint damn it
0,Sprint might be Unlimited but I am not! Going to get some shut eye before race! #NASCAR
0,Tmobile Alcatel One Touch Evolve: Shop cell phones and accessories at http://t.co/QKfSUdUy4i. Youll find great ... http://t.co/NIR4l6tL3O
0,Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight. http://t.co/GTY5PV9Xdi  #nascar
0,@dizzlleeee_: @BRYond_Pretty: My Stomach Fucked Up ! Everytime I Try To Go Outside I Gotta Sprint Up Stairs To Go To The Bathroomewwww
0,They ever say how much time she made up? 2 min later... USA going wrong way RT @Cleetsauce: That XC skiiing sprint was insane.
0,I got 2 iPhones 5cs for sprint clean esn w/box and chargers for a AT&T iPhone
1,Sprint really ass yo
0,RT @selenagomez: Honored to be the first customer at Verizon's new Destination Store. #techinspired http://t.co/BAqs82n9Mr
0,RT @bobpockrass: Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight. http://t.co/GTY5PV9Xdi  #na
0,Bored with using your phone to make calls and surf the web? Turn it into a paperweight or doorstop by signing up with Sprint.
0,"RT @TonyBozzella: Game day!!watch us on fox sports atlantic at 5.ch.720 on comcast&ch.300 on Verizon.Or listen on PSN..as we take Depaul.""w"
1,I'm in a bad mood right now because of my phone. I went to Sprint today & spent 40 minutes on the phone w/ Apple all for nothing -_-
0,"Hot News | Chevies blowing up at Daytona: NASCAR Sprint Cup. TONY STEWART, NO. 14 BASS PRO SHOPS/MOBIL 1 CHEVR... http://t.co/Maoj7ZRKyj"
0,RT @BRYond_Pretty: @dizzlleeee_: @BRYond_Pretty: My Stomach Fucked Up ! Everytime I Try To Go Outside I Gotta Sprint Up Stairs To Go To T
1,We might change to verizon and get new phones
1,RT @Lia_Kai: Sprint really ass yo
0,Here at home. In 4g area and I couldn't do a damn thing. Thanks @sprint http://t.co/6hwuWA0FM6
0,"RT @simihamilton: Frustrating day at the Olympics for me, but hey, that's sprint racing. So, so excited for @dophed with an unreal day. Thi"
0,@JessRoman85 Network upgrades are currently underway in Orlando to improve service. http://t.co/wUtkUedmE2 *AJV
0,RT @bobpockrass: Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight. http://t.co/GTY5PV9Xdi  #na
1,@sprint everyone I know wit sprint has no service right now...wats up
0,RT @bobpockrass: Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight. http://t.co/GTY5PV9Xdi  #na
1,Verizon... Please buy out sprint. But keep the same plan and the same price.
1,Only benefit at #verizon in Santa Fe is being able to sleep for HOURS http://t.co/zRbP8L9Fyq
1,gave my bro $10 just to borrow his t-mobile phone<
0,RT @bobpockrass: Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight. http://t.co/GTY5PV9Xdi  #na
0,Do distance runners sprint in the mile ... ?
0,going in for a writing sprint on the hour -- all devices will be internet disabled!  Who's with me?
0,@CodyWrightxx so you expect him to sprint for 90 minutes? yeah good one! he isnt going to beat 5 defenders on his own lets be realistic here
0,How is t-mobile coverage in the bay area?
0,This years Joey Hannan Memorial Triathlon (Sprint & Standard distances) have been chosen as qualifying races for... http://t.co/YbTWw4McwF
0,@FunnyDNA @_TheRealGandhi_ so its only for Sprint?
0,@davet_etx will you be watching Sprint Unlimited tonight? If so who are you pulling for? #NASCAR
0,RT @postsecret: Is this how Net Neutrality starts to die? Verizon and Comcast slow down Netflix this month. http://t.co/p9Fhjqou0x
0,"RT @michelleisawolf: Turns out the ""can you hear me now"" Verizon guy had perfect reception the whole time, and was just trying to avoid an "
0,"I'm at @Sprint (Lancaster, CA) http://t.co/ytum2NuUxA"
0,"@Tde_Richard @_TheRealGandhi_ no, Sprint just got the update first I think."
0,Diztronic Red GlitterFlex Flexible TPU Case for Apple iPhone 4 & 4S (Verizon / AT&T / Sprint)) [Diztronic Retail... http://t.co/eWCeSka8S0
1,My mom just texted saying the ppl were so rude to her @ Sprint that she cried. I am now going in there to lay down the law in that MF'er.
0,"RT @Mike_Gennaro: Omg that Swedish girl's sprint in the final leg of the women's relay. That was so incredible, all for an Olympic gold med"
0,Read what others are posting about @Sprint on their page. This company is in trouble. @sprintcare... http://t.co/EPiqBygKZv
0,"Wow just looked at the entire @NASCAR Sprint Cup Roster, lots of new faces. That gives me a headache!"
1,RT @MiggidyMarj: F U sprint.
1,RT @amor_hermosa1: Sprint & this wack ass bullshit ass service!
0,"Samsung Galaxy S4, White (Verizon Wireless) http://t.co/uMYG64b0ba #CellPhonesMP3Players #CellPhoneswithService #amazoncom #BestSellers"
0,"Samsung Galaxy Note 3, Black (Verizon... http://t.co/U961E7ac0h #CellPhonesMP3Players #CellPhoneswithService #amazoncom #BestSellers"
0,So Verizon gave me an extra gig of data at no extra charge. Nice.
0,RT @bobpockrass: Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight. http://t.co/GTY5PV9Xdi  #na
0,Samsung Illusion Prepaid Android Phone (Verizon Wireless) Platinum Edition: Shop cell phones and accessories a... http://t.co/VqwzJBi5Aq
0,Samsung Illusion Prepaid Android Phone (Verizon Wireless) Platinum Edition: Shop cell phones and accessories a... http://t.co/ewkBcaodq3
0,iPhone 5s gold 16gb for sale $250 t-mobile
0,@CBHometime Switch your Framily to Sprint and Save $100 visit http://t.co/H7YbZXL3Xm
0,@MattCory95 who said sprint for 90 minutes? Bit deluded aren't you! Reid's a lazy cunt and everyone knows it
0,"@TMobile if I switch from AT&T & you pay ETF, but then decide to switch back will you still cover ETF if I have not recvd reimbursement yet?"
0,This is why i still have AT&T and not Verizon also why i drink Pepsi instead of coke#thankyoulordfor@SofiaVergara http://t.co/0NpYMukXMV
0,RT @ethannation: @sprint reception and data service on my Nexus 5 in Denver was atrocious this trip. Y'all need to improve your network. Ev
1,See if sprint gone let me get a new phone
0,RT @Liamurhot: im at the verizon store and http://t.co/sXhvFmdxii
0,@Ringsdorf21 Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight. http://t.co/fwbuy4ImZm #nascar
0,RT @Liamurhot: im at the verizon store and http://t.co/sXhvFmdxii
0,RT @ClassicKennedy: Charlotte Kalla is a beast! Her sprint at the finish was unbelievable!
0,RT @YourScentsyLady: Spring Sprint fun!!  #iChoose http://t.co/KZw299HnTE
0,Miss Sprint Cup interviews Kevin Harvick prior to his appearance at the Sprint display at Daytona http://t.co/C4AcfmyYqs
1, T-mobile fucking up.
0,@sprintcare no sprint will pay for it I have a warranty. Thanks though.
0,"RT @CNET: How does Verizon's ""More Everything"" plan stack up to competitors' offers? CNET News' @maggie_reardon takes a look http://t.co/nT"
0,"""@bobpockrass: Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight.  #nascar""  I like Mikey better"
0,"@close_nutrition Would be interested in maximum power to mass ratio sports (sprint events), how much mass can you lose acutely without"
0,@hurdlegxd cuz my hips are like defective and I can't jump sprint or extend my body correctly because of this problem.
0,It is tough to do IPv6 RFC checks when Comcast has a full blown outage too - glad I have a Verizon Mifi as a backup
0,Charlotte Kalla was a beast!!! Closed the gap and then won the sprint!
0,@Jerone_Jordan damn I'm with Verizon!
0,"But it's Sprint, so not much of an upgrade haha "
0,@JohnLegere I think it's funny that AT&T is taken shots only at VZW.  There definitely scared of @TMobile  http://t.co/lDYVDP471v
1,RT @MiggidyMarj: F U sprint.
0,RT @StewartHaasRcng: Miss Sprint Cup interviews Kevin Harvick prior to his appearance at the Sprint display at Daytona http://t.co/C4Acfmy
0,Entries are filling fast for the @WilliamsMogCars Great Western Sprint @CastleCombeUK http://t.co/PGGu95VIlq
0,RT @love_NoHoee: @Jerone_Jordan damn I'm with Verizon!
0,@northerngirl_12 We have no tmobile here either.
0,Verizon Is Lowering Prices For Its Data Plans By $10-$20 Per Month http://t.co/vsddxmnrnM
0,"FINALLY A competent, clearly verbal Verizon CSR."
0,"Dear Sprint, I am patiently waiting. Sincerely, DeUn S. http://t.co/i2bKQLewbQ"
0,@NobleRorick I could really use some help with motivation right about now actually! How long do you sprint for?
0,"Thank you, Verizon! #blessed http://t.co/UXkm76MuH9"
0,"Photo: Dear Sprint, I am patiently waiting. Sincerely, DeUn S. http://t.co/hbDNpAxKKw"
0,Lmao why did he sprint like that
0,"RT @Mike_Gennaro: Omg that Swedish girl's sprint in the final leg of the women's relay. That was so incredible, all for an Olympic gold med"
0,Damnnnnn! He outran both of them.. That sprint was amazing
0,RT @JohnLVieira: @blackberryninja @TMobile @JohnLegere @BlackBerry To think any IPhone can do even half of the things a BB10 phone can do i
0,Anybody got a sprint phone for sale?
0,RT @bobpockrass: Darrell Waltrip to miss Sprint Unlimited after surgery ... Michael Waltrip to fill in tonight. http://t.co/GTY5PV9Xdi  #na
1,I hateeeeee sprint with a passion it's always something with these towers fckn with my service
0,Y'all niggas talking about @ people and I can't do that shit cuz I got metro pcs fuck u sprint people y'all think y'all the shit.
0,Hamstrings hurting but fuck it ill sprint
0,RT @NASCAR: The wait is over! Practice is officially underway for the Sprint Unlimited - turn on @FOXSports1 NOW! #NASCAR http://t.co/a7wF3
1,RT @KevinSycho: Sprint fucking sucks ass
0,When you get out of the bath and sprint to the bedroom for warmth
1,"Might have yo go back to the Sprint store... Can't send picture mail, or connect to FB chat... Any other #WinPhan's having similar issues?"
1,Thank you @sprintcare and @Verizon for competing in who can fuck families over the most.
0,@Be_Like_Jon Hi! Thanks for the shout out! We love having you be a loyal member of our T-Mobile family! :)  ^JJ
0,RT @macklemore: Great show last night at the Belasco in LA! Thank you to everyone who came out and  to @TMobile & @JohnLegere http://t.co/N
0,Verizon gets dragged kicking and screaming into mobile price war http://t.co/TZscWlpTKR
0,LIMITED TIME OFFER  Get a free LG G2 when you bring your number to Sprint. via @UnlimitYourLG http://t.co/Js7mkZ0hUV
1,@CHold Sprint is less than desirable right now.
1,I wanna switch from Sprint man
0,Samsung galaxy note 2 Verizon with square trade warranty. http://t.co/Gs1CqzMJF9 #android
0,BROKEN LOT OF 9 HTC Rezound ADR6425 VERIZON R3-6 http://t.co/VrtBpGxBy4 #android
0,"NASCAR Sprint Unlimited 2014: Drivers, lineup and starting grid - SB Nation  http://t.co/WAI6tvmOSL"
0,Watching the race from the top of the sprint garage roof have a perfect view of infield care center-Tay http://t.co/pS4aH9Onec
0,RT @joerogan: Dallas! March 14th I'm bringing the #FreakParty to town @AriShaffir @duncantrussell and me at the verizon theatre http://t.co
0,Anyone have a Verizon smart phone they don't use anymore?
0,"With my iPhone goin out I reaaaaallllly want the @nokia 1020. Looks incredible, but sadly it's not out on verizon"
1,RT @Lia_Kai: Sprint really ass yo
1,RT @MiggidyMarj: F U sprint.
0,@purtycarbs @Bryyann_ only verizon and at&t charge
0,Darrell Waltrip to miss Sprint Unlimited after surgery http://t.co/1hHR6HClVw
0,Uff da! Way exciting women's x-c relay sprint in Olympics. Charlotte Kalla IS a goddess.
0,verizon cellphone: $47.00 (0 Bids) End Date: Saturday Feb-15-2014 9:18:41 PST Buy It Now for only: $64.00 Buy It... http://t.co/nEFuuNc1Ln
0,Kevin Harvick entertains the fans gathered at the Sprint Display prior to tonight's Sprint Unlimited. http://t.co/XMbYhE2HH7
0,#apple Motorola Droid Razr Maxx (Latest Model) - 16GB - Black (Verizon)  NO POWER UP http://t.co/AxlYCWgdlO
0,#apple Apple iPhone 5S (Latest Model) - 16GB - Gold (Verizon)  SEALED NEW IN BOX http://t.co/m478LHkVGW
1,RT @Lia_Kai: Sprint really ass yo
0,RT @StewartHaasRcng: Kevin Harvick entertains the fans gathered at the Sprint Display prior to tonight's Sprint Unlimited. http://t.co/XMbY
0,i literally had a little crowd around me at sprint today while playing flappy bird
0,"@DamicoMark Verizon... ""call this number, it's $99 and you'll have a phone Monday..."" great"
0,@__pmt sprint love playin games ' that's why lol '
0,@potsmokeniall apparently the 5s has faster processing or at least that's what the people at sprint told me
1,RT @MiggidyMarj: F U sprint.
0,@beccacrawford12 I got that scared I started to sprint from cornmoor all the way along millfeild
0,RT @ehorley: It is tough to do IPv6 RFC checks when Comcast has a full blown outage too - glad I have a Verizon Mifi as a backup
0,New leak with render photos of Verizon LG G Pad 8.3 surfaced on the web http://t.co/IO0mkPzAWR
0,"""Sprint football may suck, but they definitely have the best parties on campus. #TurnUporTransfer"""
0,Very excited that both @Elliott_Sadler and @jjyeley1 are back in the @NASCAR Sprint Cup series this year!
1,Fuck this tmobile shit today. Its for the birds.....dumbass updates worse than the previous
0,"RT @FordRacing: Three Fords end second #NASCAR #Sprint Cup practice in the Top 10.  @MarcosAmbrose P6, @gbiffle P7, and @aric_almirola P10."
0,@maedko It sounds like it means buying a @TMobile phone. I would check with @TMobileHelp or contact your local store on this subject.
0,"I'm at Daytona International Speedway - @disupdates for Sprint Unlimited (Daytona Beach, FL) w/ 33 others http://t.co/x9Agyc931T"
0,Sprint To That Green
0,RT @SharpySupernova: No idea how @1jamesbeattie 's sprint speed in FIFA 14 is 29?!! He's a beast!
